id,nome,microrregiao,regiao-imediata
1100015,Alta Floresta D'Oeste,"{'id': 11006, 'nome': 'Cacoal', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110005, 'nome': 'Cacoal', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100023,Ariquemes,"{'id': 11003, 'nome': 'Ariquemes', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110002, 'nome': 'Ariquemes', 'regiao-intermediaria': {'id': 1101, 'nome': 'Porto Velho', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100031,Cabixi,"{'id': 11008, 'nome': 'Colorado do Oeste', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110006, 'nome': 'Vilhena', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100049,Cacoal,"{'id': 11006, 'nome': 'Cacoal', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110005, 'nome': 'Cacoal', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100056,Cerejeiras,"{'id': 11008, 'nome': 'Colorado do Oeste', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110006, 'nome': 'Vilhena', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100064,Colorado do Oeste,"{'id': 11008, 'nome': 'Colorado do Oeste', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110006, 'nome': 'Vilhena', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100072,Corumbiara,"{'id': 11008, 'nome': 'Colorado do Oeste', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110006, 'nome': 'Vilhena', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100080,Costa Marques,"{'id': 11002, 'nome': 'Guajará-Mirim', 'mesorregiao': {'id': 1101, 'nome': 'Madeira-Guaporé', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110004, 'nome': 'Ji-Paraná', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100098,Espigão D'Oeste,"{'id': 11006, 'nome': 'Cacoal', 'mesorregiao': {'id': 1102, 'nome': 'Leste Rondoniense', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110005, 'nome': 'Cacoal', 'regiao-intermediaria': {'id': 1102, 'nome': 'Ji-Paraná', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
1100106,Guajará-Mirim,"{'id': 11002, 'nome': 'Guajará-Mirim', 'mesorregiao': {'id': 1101, 'nome': 'Madeira-Guaporé', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}","{'id': 110001, 'nome': 'Porto Velho', 'regiao-intermediaria': {'id': 1101, 'nome': 'Porto Velho', 'UF': {'id': 11, 'sigla': 'RO', 'nome': 'Rondônia', 'regiao': {'id': 1, 'sigla': 'N', 'nome': 'Norte'}}}}"
